BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.0015,0.0619,0.0,0.0536,0.0142,0.027,0.7802,22.4733,0.3289,0.2142,0.0311,0.1209,0.2198
0.0009,0.0607,0.0,0.0571,0.0022,0.0152,0.9642,3.7677,0.3102,0.3661,0.0006,0.0179,0.0358
0.0363,0.3582,0.0602,0.1567,0.1219,0.0901,0.6062,15.8754,0.4149,0.5181,0.0048,0.2591,0.3938
0.0016,0.0676,0.0,0.0477,0.0184,0.0323,0.7963,9.584,0.5254,0.2207,0.3798,0.1019,0.2037
0.0009,0.0338,0.0,0.029,0.001,0.0091,0.9777,1.8572,0.3109,0.3326,0.1762,0.014,0.0223
0.0011,0.0218,0.0,0.0187,0.0047,0.0199,0.9091,10.3896,0.251,0.1477,0.0309,0.0404,0.0909
0.0007,0.0313,0.0,0.0274,0.0016,0.0075,0.9724,1.5539,0.4806,0.4043,0.0005,0.0149,0.0276
0.0015,0.0593,0.0,0.0514,0.0093,0.0257,0.8649,11.5756,0.4201,0.215,0.0324,0.0631,0.1351
0.0471,0.3947,0.0619,0.1667,0.2719,0.1236,0.3407,41.53,0.4122,0.6395,0.0043,0.6404,0.6593
0.0016,0.0694,0.0,0.053,0.0123,0.0302,0.8482,13.4065,0.4794,0.2222,0.9721,0.0804,0.1518
0.003,0.1194,0.0,0.0938,0.0149,0.035,0.8482,13.4065,0.5214,0.3437,0.9721,0.0982,0.1518
0.0016,0.0398,0.0,0.0309,0.0081,0.0224,0.8739,11.4905,0.3599,0.2533,0.0124,0.084,0.1261
0.0024,0.0108,0.0,0.0108,0.0076,0.0128,0.8739,11.4905,0.2168,0.3807,0.0124,0.1092,0.1261
0.0013,0.031,0.0,0.031,0.0069,0.0235,0.8785,12.7907,0.2084,0.1895,0.0003,0.0748,0.1215
0.0877,0.3338,0.0777,0.1798,0.2877,0.1532,0.322,58.82,0.3696,0.4738,0.0066,0.6,0.678
0.0033,0.1179,0.0048,0.0991,0.0109,0.0388,0.8833,8.6113,0.4137,0.2606,0.5698,0.05,0.1167
0.0047,0.0863,0.0079,0.0863,0.0079,0.0318,0.8833,8.6113,0.2451,0.3319,0.5698,0.0583,0.1167
0.0018,0.0278,0.008,0.0198,0.0012,0.0114,0.9713,3.0472,0.3003,0.3664,0.0027,0.012,0.0287
0.0013,0.0215,0.0043,0.0172,0.0011,0.007,0.9723,2.9418,0.245,0.3396,0.0027,0.0162,0.0277
0.0007,0.0149,0.0,0.0149,0.0004,0.007,0.9861,1.4851,0.3709,0.3213,0.1209,0.0059,0.0139
0.0013,0.009,0.0,0.009,0.0009,0.0058,0.9747,2.7548,0.3765,0.3188,0.1616,0.0161,0.0253
0.0017,0.0321,0.0,0.0321,0.0065,0.0334,0.9091,8.8889,0.2809,0.1907,0.1144,0.0364,0.0909
0.0029,0.0396,0.0,0.0396,0.0079,0.0395,0.9091,8.8889,0.3113,0.2919,0.1144,0.0455,0.0909
0.0171,0.2644,0.0256,0.1424,0.2333,0.0923,0.3407,41.53,0.2363,0.4572,0.0043,0.6742,0.6593
0.0504,0.4261,0.0965,0.2435,0.2939,0.1367,0.3407,41.53,0.3265,0.6669,0.0043,0.6517,0.6593
0.0019,0.0428,0.0078,0.0428,0.0009,0.0135,0.9836,1.7595,0.0875,0.2932,0.0022,0.007,0.0164
0.0059,0.1514,0.0306,0.1362,0.0169,0.0444,0.8454,11.9301,0.345,0.3377,0.0006,0.0722,0.1546
0.0008,0.0475,0.0034,0.0407,0.0015,0.0116,0.9747,2.6128,0.3687,0.3646,0.0007,0.0105,0.0253
0.0205,0.3754,0.055,0.1911,0.1142,0.1065,0.6031,16.0928,0.1901,0.5237,0.0052,0.2474,0.3969
0.0033,0.0682,0.0,0.0633,0.0079,0.0318,0.9008,9.6961,0.4023,0.2519,0.2641,0.0496,0.0992
0.0025,0.0374,0.0,0.0374,0.0066,0.0196,0.9008,9.6961,0.3876,0.3905,0.2641,0.0661,0.0992
0.0049,0.1328,0.0084,0.1079,0.0112,0.0397,0.8846,10.3202,0.5106,0.4311,0.0016,0.0462,0.1154
0.0119,0.1429,0.0254,0.1092,0.0139,0.0456,0.8846,10.3202,0.4791,0.4026,0.0016,0.0462,0.1154
0.0122,0.1653,0.025,0.1488,0.0147,0.0477,0.8731,12.8787,0.3821,0.4432,0.0003,0.0522,0.1269
0.0028,0.1459,0.0,0.1202,0.0124,0.0377,0.8731,12.8787,0.2772,0.4403,0.0003,0.0597,0.1269
0.025,0.3966,0.0596,0.2025,0.2897,0.1309,0.3407,41.53,0.3184,0.6492,0.0043,0.6292,0.6593
0.0182,0.2741,0.041,0.1624,0.2825,0.0918,0.3407,41.53,0.2853,0.637,0.0043,0.7753,0.6593
0.0014,0.0219,0.0,0.0219,0.0006,0.0071,0.9811,2.0649,0.294,0.3737,0.0015,0.0095,0.0189
0.0007,0.0048,0.0,0.0048,0.0005,0.0036,0.9811,2.0649,0.051,0.3216,0.0015,0.0142,0.0189
0.002,0.0352,0.0089,0.0264,0.003,0.0108,0.9362,6.5534,0.4423,0.3386,0.0069,0.0426,0.0638
0.002,0.0191,0.0,0.0096,0.003,0.0119,0.9392,6.2507,0.3831,0.3475,0.0073,0.0473,0.0608
0.0021,0.0273,0.0092,0.0273,0.0028,0.0114,0.9398,6.0931,0.4421,0.3383,0.0094,0.0451,0.0602
0.0022,0.0204,0.0,0.0102,0.003,0.0133,0.9398,6.0931,0.4019,0.3537,0.0094,0.0451,0.0602
0.0202,0.4259,0.0374,0.213,0.2577,0.1203,0.2787,44.07,0.4934,0.6422,0.0068,0.6477,0.7213
0.0257,0.4424,0.0651,0.1935,0.3271,0.1348,0.3407,41.53,0.459,0.6611,0.0043,0.6404,0.6593
0.0021,0.0661,0.0,0.0601,0.0097,0.0246,0.8583,13.5454,0.2558,0.3335,0.2992,0.0945,0.1417
