BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.1947,0.5247,0.2141,0.2494,0.4357,0.2384,0.498,52.19,0.6321,0.6482,0.0004,0.496,0.502
0.2165,0.5788,0.2742,0.3059,0.392,0.2721,0.449,57.91,0.6482,0.689,0.0065,0.4889,0.551
0.1261,0.4655,0.1503,0.2529,0.178,0.1701,0.5223,59.53,0.7124,0.6225,0.0319,0.2794,0.4777
0.2802,0.5777,0.3288,0.376,0.5148,0.2996,0.4675,58.52,0.8784,0.7426,0.0209,0.4885,0.5325
0.1583,0.5229,0.2168,0.2534,0.4125,0.2114,0.4781,58.01,0.8194,0.6899,0.0024,0.5496,0.5219
0.2689,0.547,0.3209,0.3248,0.5166,0.2866,0.4303,58.21,0.7044,0.7374,0.0008,0.5594,0.5697
0.1963,0.5499,0.2152,0.3114,0.4109,0.2505,0.4618,58.32,0.8237,0.7021,0.0089,0.5448,0.5382
0.2529,0.5653,0.3425,0.3222,0.2279,0.2725,0.5657,62.68,0.862,0.718,0.0006,0.1793,0.4343
0.263,0.56,0.3271,0.4053,0.4328,0.2859,0.4766,55.27,0.6258,0.7315,0.0006,0.5448,0.5234
0.1577,0.4859,0.1932,0.2825,0.4421,0.1869,0.4498,60.14,0.7883,0.6442,0.0412,0.6277,0.5502
0.1032,0.3345,0.1825,0.2509,0.3815,0.1178,0.4603,59.84,0.741,0.6831,0.0016,0.7059,0.5397
0.2905,0.5558,0.3238,0.4,0.4971,0.3114,0.4841,49.86,0.8378,0.708,0.0077,0.4462,0.5159
0.0544,0.3881,0.0721,0.203,0.1619,0.1036,0.54,60.55,0.7052,0.5922,0.0013,0.304,0.46
0.2626,0.573,0.3051,0.3708,0.5809,0.2851,0.4291,57.71,0.8112,0.7306,0.012,0.5319,0.5709
0.2746,0.5768,0.3035,0.3396,0.2907,0.2986,0.51,57.5,0.7997,0.7201,0.0008,0.2151,0.49
0.192,0.4365,0.2222,0.2707,0.4007,0.2182,0.4137,44.78,0.7586,0.6791,0.0674,0.5959,0.5863
0.2814,0.5656,0.3411,0.3805,0.4481,0.3002,0.4783,58.32,0.7995,0.7053,0.0063,0.4773,0.5217
0.1359,0.4309,0.1812,0.2765,0.4772,0.1607,0.4286,62.78,0.7618,0.6987,0.001,0.6319,0.5714
